procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5636712  76412 2164800    0    0     0     4  309   54 25  0 75  0  0
 1  0      0 5636712  76412 2164800    0    0     0     0  313   73 25  0 75  0  0
 1  0      0 5636712  76416 2164800    0    0     0    12  311   67 25  0 75  0  0
 1  0      0 5636712  76416 2164800    0    0     0     0  318   70 25  0 75  0  0
 1  0      0 5636712  76416 2164800    0    0     0     0  291   48 25  0 75  0  0
 1  0      0 5636712  76416 2164800    0    0     0     0  317   76 25  0 75  0  0
 1  0      0 5636712  76416 2164800    0    0     0     4  308   58 25  0 75  0  0
 1  0      0 5636712  76420 2164796    0    0     0    12  309   70 25  0 75  0  0
 1  0      0 5636712  76420 2164800    0    0     0     0  303   55 25  0 75  0  0
 1  0      0 5636712  76420 2164800    0    0     0     0  301   65 25  0 75  0  0
 1  0      0 5636712  76420 2164800    0    0     0     0  312   60 25  0 75  0  0
 1  0      0 5636712  76420 2164800    0    0     0     0  300   54 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5636712  76424 2164800    0    0     0    16  319   70 25  0 75  0  0
 1  0      0 5636712  76424 2164800    0    0     0     0  312   73 25  0 75  0  0
 1  0      0 5636712  76424 2164800    0    0     0     0  296   51 25  0 75  0  0
 1  0      0 5636712  76424 2164800    0    0     0     0  309   66 25  0 75  0  0
 1  0      0 5636712  76424 2164800    0    0     0     0  296   50 25  0 75  0  0
 1  0      0 5636712  76428 2164796    0    0     0    12  318   82 25  0 75  0  0
 1  0      0 5636712  76428 2164800    0    0     0     4  307   56 25  0 75  0  0
 1  0      0 5636712  76428 2164800    0    0     0     0  295   55 25  0 75  0  0
 1  0      0 5636712  76428 2164804    0    0     0     0  291   48 25  0 75  0  0
 1  0      0 5677580  76428 2164804    0    0     0     0  302   68 25  0 75  0  0
 1  0      0 5633528  76432 2164804    0    0     0    12  315   71 23  2 75  0  0
 1  0      0 5630776  76432 2164804    0    0     0     0  315   70 24  1 75  0  0
 1  0      0 5630776  76432 2164804    0    0     0     8  320   63 24  1 75  0  0
 1  0      0 5630776  76432 2164804    0    0     0     0  324   79 25  1 75  0  0
 1  0      0 5630776  76432 2164804    0    0     0     0  294   46 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0    20  319   80 25  1 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  293   49 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  317   68 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     4  307   56 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  307   66 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0    20  309   68 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5630524  76432 2164804    0    0     0     0  305   66 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  291   47 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  307   67 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     4  316   58 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0    12  327   93 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  302   57 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  302   60 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  298   53 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  301   68 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0    16  319   63 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  311   75 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  297   47 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  313   80 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  296   47 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0    12  313   82 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     4  308   54 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  308   66 25  0 75  0  0
 1  0      0 5630524  76432 2164804    0    0     0     0  312   61 25  0 75  0  0
 1  0      0 5681772  76432 2164804    0    0     0     0  312   72 25  0 75  0  0
 1  0      0 5635404  76436 2164800    0    0     0    12  319   78 23  3 75  0  0
 1  0      0 5634188  76436 2164804    0    0     0     0  316   78 24  1 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5631952  76436 2164804    0    0     0     4  320   62 24  1 75  0  0
 1  0      0 5631952  76436 2164804    0    0     0     0  313   69 25  0 75  0  0
 1  0      0 5631952  76436 2164804    0    0     0     0  294   47 24  1 75  0  0
 1  0      0 5631952  76440 2164804    0    0     0    16  326  102 25  1 75  0  0
 1  0      0 5630944  76440 2164804    0    0     0     0  300   51 25  0 75  0  0
 1  0      0 5630944  76440 2164804    0    0     0     0  296   58 25  0 75  0  0
 1  0      0 5630944  76440 2164804    0    0     0     4  314   63 25  0 75  0  0
 1  0      0 5630944  76440 2164804    0    0     0     0  308   72 25  0 75  0  0
 1  0      0 5630944  76444 2164804    0    0     0    16  329   74 25  0 75  0  0
 1  0      0 5630944  76444 2164804    0    0     0     0  310   68 25  0 75  0  0
 1  0      0 5630944  76444 2164804    0    0     0     0  293   46 25  0 75  0  0
 1  0      0 5630944  76444 2164804    0    0     0     0  310   74 25  0 75  0  0
 1  0      0 5630944  76444 2164808    0    0     0     8  307   55 25  0 75  0  0
