procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5264364  82372 2546640    0    0     0     0  152   66 10  0 90  0  0
 1  0      0 5264364  82372 2546640    0    0     0     4  187  103 10  0 90  0  0
 1  0      0 5264364  82372 2546640    0    0     0     0  157   77 10  0 90  0  0
 1  0      0 5264364  82372 2546640    0    0     0     0  184   93 10  0 90  0  0
 1  0      0 5264364  82376 2546644    0    0     0    16  184   98 10  0 90  0  0
 1  0      0 5264364  82376 2546644    0    0     0     0  176   94 10  0 90  0  0
 1  0      0 5264364  82376 2546644    0    0     0     0  172   83 10  0 90  0  0
 1  0      0 5264364  82376 2546644    0    0     0     8  175   84 10  0 90  0  0
 1  0      0 5264364  82376 2546644    0    0     0     0  167   73 10  0 90  0  0
 1  0      0 5264364  82376 2546644    0    0     0     0  164   87 10  0 90  0  0
 1  0      0 5264364  82384 2546636    0    0     0    20  175   93 10  0 90  0  0
 1  0      0 5264364  82384 2546644    0    0     0     0  171   74 10  0 90  0  0
 1  0      0 5264364  82384 2546644    0    0     0     0  161   75 10  0 90  0  0
 1  0      0 5264364  82384 2546644    0    0     0     4  182   89 10  0 90  0  0
 1  0      0 5264364  82384 2546644    0    0     0     0  162   75 10  0 90  0  0
 1  0      0 5264364  82384 2546644    0    0     0     0  157   82 10  0 90  0  0
 1  0      0 5264364  82392 2546636    0    0     0    12  167   83 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 5264364  82392 2546644    0    0     0     0  161   84 10  0 90  0  0
 1  0      0 5264364  82392 2546644    0    0     0     0  170   79 10  0 90  0  0
 1  0      0 5264364  82392 2546644    0    0     0     4  169   84 10  0 90  0  0
 1  0      0 5264364  82392 2546644    0    0     0     0  163   78 10  0 90  0  0
 1  0      0 5264364  82392 2546644    0    0     0     0  157   79 10  0 90  0  0
 1  0      0 5264364  82396 2546640    0    0     0    12  184   90 10  0 90  0  0
 1  0      0 5264364  82396 2546644    0    0     0     0  156   74 10  0 90  0  0
 1  0      0 5264364  82396 2546644    0    0     0     0  172   84 10  0 90  0  0
 1  0      0 5264364  82396 2546644    0    0     0     4  173   89 10  0 90  0  0
 1  0      0 5264364  82396 2546644    0    0     0     0  169   71 10  0 90  0  0
 1  0      0 5264364  82396 2546644    0    0     0     0  167   80 10  0 90  0  0
 1  0      0 5264364  82404 2546636    0    0     0    12  177   92 10  0 90  0  0
 1  0      0 5264364  82404 2546644    0    0     0     0  165   84 10  0 90  0  0
 1  0      0 5264364  82404 2546644    0    0     0     0  170   89 10  0 90  0  0
 1  0      0 5264364  82404 2546644    0    0     0     4  169   75 10  0 90  0  0
 1  0      0 5264364  82404 2546644    0    0     0     0  164   79 10  0 90  0  0
 1  0      0 5264364  82404 2546644    0    0     0     0  166   87 10  0 90  0  0
 1  0      0 5264364  82408 2546640    0    0     0    12  186  102 10  0 90  0  0
 1  0      0 5264364  82408 2546644    0    0     0     0  161   77 10  0 90  0  0
 0  0      0 5264364  82408 2546644    0    0     0     0  163   73 10  0 90  0  0
 0  0      0 5264364  82408 2546644    0    0     0     4  198  107 10  0 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 5264364  82408 2546644    0    0     0     0  161   71 10  0 90  0  0
 0  0      0 5264364  82408 2546644    0    0     0     0  170   86 10  0 90  0  0
